Product Name,Current Price,Previous Price,Price Per Each,Category,Product ID,Product URL,Quantity,Units
English Cucumber,1.99,1.99,$1.99/1ea,Fresh Vegetables,20070132001_EA,https://www.realcanadiansuperstore.ca/english-cucumber/p/20070132001_EA,1,ea
Green Onion,1.29,1.29,$1.29/1ea,Fresh Vegetables,20107500001_EA,https://www.realcanadiansuperstore.ca/green-onion/p/20107500001_EA,1,bunch
"Bi-Colour Corn, Corn on the Cob",0.99,0.99,$0.99/1ea,Fresh Vegetables,20131170001_EA,https://www.realcanadiansuperstore.ca/bi-colour-corn-corn-on-the-cob/p/20131170001_EA,1,ea
"Romaine Heart, 3 Pack",6,6,$2.00/1ea,Fresh Vegetables,20067389001_EA,https://www.realcanadiansuperstore.ca/romaine-heart-3-pack/p/20067389001_EA,3,pack
Red Peppers    ,2.38,2.38,$9.90/1kg,Fresh Vegetables,20007535001_KG,https://www.realcanadiansuperstore.ca/red-peppers/p/20007535001_KG,1,ea
Yellow Onions,2.99,2.99,$0.22/100g,Fresh Vegetables,20811994001_EA,https://www.realcanadiansuperstore.ca/yellow-onions/p/20811994001_EA,3,lb
Celery Stalks,3.49,3.49,$3.49/1ea,Fresh Vegetables,20163119001_EA,https://www.realcanadiansuperstore.ca/celery-stalks/p/20163119001_EA,1,ea
Lettuce Iceberg,3.99,3.99,$3.99/1ea,Fresh Vegetables,20135326001_EA,https://www.realcanadiansuperstore.ca/lettuce-iceberg/p/20135326001_EA,1,ea
Broccoli,3.99,3.99,$3.99/1ea,Fresh Vegetables,20145621001_EA,https://www.realcanadiansuperstore.ca/broccoli/p/20145621001_EA,1,ea
Red Onion,2.03,2.03,$5.49/1kg,Fresh Vegetables,20134101001_KG,https://www.realcanadiansuperstore.ca/red-onion/p/20134101001_KG,1,ea
Tomato Beefsteak  Red,1.47,1.47,$5.49/1kg,Fresh Vegetables,20426141001_KG,https://www.realcanadiansuperstore.ca/tomato-beefsteak-red/p/20426141001_KG,1,ea
Zucchini,0.92,1.23,$3.28/1kg,Fresh Vegetables,20426596001_KG,https://www.realcanadiansuperstore.ca/zucchini/p/20426596001_KG,1,ea
Cauliflower,4.49,4.49,$4.49/1ea,Fresh Vegetables,20135377001_EA,https://www.realcanadiansuperstore.ca/cauliflower/p/20135377001_EA,1,ea
Sweet Green Peppers,2.46,2.46,$8.80/1kg,Fresh Vegetables,20425893001_KG,https://www.realcanadiansuperstore.ca/sweet-green-peppers/p/20425893001_KG,1,ea
English Cucumber 3Ct    ,3.99,3.99,$1.33/1ea,Fresh Vegetables,20828461001_EA,https://www.realcanadiansuperstore.ca/english-cucumber-3ct/p/20828461001_EA,3,pack
Roma Tomatoes,0.39,0.53,$3.28/1kg,Fresh Vegetables,20143381001_KG,https://www.realcanadiansuperstore.ca/roma-tomatoes/p/20143381001_KG,1,ea
Broccoli Crowns,1.65,3.34,$4.34/1kg,Fresh Vegetables,20026161001_KG,https://www.realcanadiansuperstore.ca/broccoli-crowns/p/20026161001_KG,1,ea
